Season,ATeamID,BTeamID,ASeed,ATeamName,BSeed,BTeamName
2021,1276,1400,1,Michigan,3,Texas
2021,1276,1382,1,Michigan,9,St Bonaventure
2021,1276,1277,1,Michigan,11,Michigan St
2021,1276,1417,1,Michigan,11,UCLA
2021,1276,1422,1,Michigan,13,UNC Greensboro
2021,1276,1291,1,Michigan,16,Mt St Mary's
2021,1276,1411,1,Michigan,16,TX Southern
2021,1276,1438,1,Michigan,4,Virginia
2021,1276,1425,1,Michigan,6,USC
2021,1276,1332,1,Michigan,7,Oregon
2021,1276,1328,1,Michigan,8,Oklahoma
2021,1276,1281,1,Michigan,9,Missouri
2021,1276,1433,1,Michigan,10,VCU
2021,1276,1455,1,Michigan,11,Wichita St
2021,1276,1364,1,Michigan,12,UC Santa Barbara
2021,1276,1325,1,Michigan,13,Ohio
2021,1276,1313,1,Michigan,16,Norfolk St
2021,1276,1452,1,Michigan,3,West Virginia
2021,1276,1329,1,Michigan,4,Oklahoma St
2021,1276,1397,1,Michigan,5,Tennessee
2021,1276,1361,1,Michigan,6,San Diego St
2021,1276,1353,1,Michigan,10,Rutgers
2021,1276,1393,1,Michigan,11,Syracuse
2021,1276,1333,1,Michigan,12,Oregon St
2021,1276,1287,1,Michigan,14,Morehead St
2021,1276,1326,1,Michigan,2,Ohio St
2021,1276,1345,1,Michigan,4,Purdue
2021,1276,1437,1,Michigan,5,Villanova
2021,1276,1403,1,Michigan,6,Texas Tech
2021,1276,1314,1,Michigan,8,North Carolina
2021,1276,1458,1,Michigan,9,Wisconsin
2021,1276,1439,1,Michigan,10,Virginia Tech
2021,1276,1429,1,Michigan,11,Utah St
2021,1276,1457,1,Michigan,12,Winthrop
2021,1276,1317,1,Michigan,13,North Texas
2021,1276,1331,1,Michigan,15,Oral Roberts
2021,1104,1276,2,Alabama,1,Michigan
2021,1104,1400,2,Alabama,3,Texas
2021,1104,1199,2,Alabama,4,Florida St
2021,1104,1160,2,Alabama,5,Colorado
2021,1104,1140,2,Alabama,6,BYU
2021,1104,1163,2,Alabama,7,Connecticut
2021,1104,1261,2,Alabama,8,LSU
2021,1104,1382,2,Alabama,9,St Bonaventure
2021,1104,1268,2,Alabama,10,Maryland
2021,1104,1277,2,Alabama,11,Michigan St
2021,1104,1417,2,Alabama,11,UCLA
2021,1104,1207,2,Alabama,12,Georgetown
2021,1104,1422,2,Alabama,13,UNC Greensboro
2021,1104,1233,2,Alabama,15,Iona
2021,1104,1291,2,Alabama,16,Mt St Mary's
2021,1104,1411,2,Alabama,16,TX Southern
2021,1104,1211,2,Alabama,1,Gonzaga
2021,1104,1234,2,Alabama,2,Iowa
2021,1104,1242,2,Alabama,3,Kansas
2021,1104,1438,2,Alabama,4,Virginia
2021,1104,1166,2,Alabama,5,Creighton
2021,1104,1425,2,Alabama,6,USC
2021,1104,1332,2,Alabama,7,Oregon
2021,1104,1328,2,Alabama,8,Oklahoma
2021,1104,1281,2,Alabama,9,Missouri
2021,1104,1433,2,Alabama,10,VCU
2021,1104,1179,2,Alabama,11,Drake
2021,1104,1455,2,Alabama,11,Wichita St
2021,1104,1364,2,Alabama,12,UC Santa Barbara
2021,1104,1325,2,Alabama,13,Ohio
2021,1104,1186,2,Alabama,14,E Washington
2021,1104,1213,2,Alabama,15,Grand Canyon
2021,1104,1111,2,Alabama,16,Appalachian St
2021,1104,1313,2,Alabama,16,Norfolk St
2021,1104,1228,2,Alabama,1,Illinois
2021,1104,1222,2,Alabama,2,Houston
2021,1104,1452,2,Alabama,3,West Virginia
2021,1104,1329,2,Alabama,4,Oklahoma St
2021,1104,1397,2,Alabama,5,Tennessee
2021,1104,1361,2,Alabama,6,San Diego St
2021,1104,1155,2,Alabama,7,Clemson
2021,1104,1260,2,Alabama,8,Loyola-Chicago
2021,1104,1210,2,Alabama,9,Georgia Tech
2021,1104,1353,2,Alabama,10,Rutgers
2021,1104,1393,2,Alabama,11,Syracuse
2021,1104,1333,2,Alabama,12,Oregon St
2021,1104,1251,2,Alabama,13,Liberty
2021,1104,1287,2,Alabama,14,Morehead St
2021,1104,1156,2,Alabama,15,Cleveland St
2021,1104,1180,2,Alabama,16,Drexel
2021,1104,1124,2,Alabama,1,Baylor
2021,1104,1326,2,Alabama,2,Ohio St
2021,1104,1116,2,Alabama,3,Arkansas
2021,1104,1345,2,Alabama,4,Purdue
2021,1104,1437,2,Alabama,5,Villanova
2021,1104,1403,2,Alabama,6,Texas Tech
2021,1104,1196,2,Alabama,7,Florida
2021,1104,1314,2,Alabama,8,North Carolina
2021,1104,1458,2,Alabama,9,Wisconsin
2021,1104,1439,2,Alabama,10,Virginia Tech
2021,1104,1429,2,Alabama,11,Utah St
2021,1104,1457,2,Alabama,12,Winthrop
2021,1104,1317,2,Alabama,13,North Texas
2021,1104,1159,2,Alabama,14,Colgate
2021,1104,1331,2,Alabama,15,Oral Roberts
2021,1104,1216,2,Alabama,16,Hartford
2021,1400,1417,3,Texas,11,UCLA
2021,1400,1422,3,Texas,13,UNC Greensboro
2021,1400,1411,3,Texas,16,TX Southern
2021,1400,1438,3,Texas,4,Virginia
2021,1400,1425,3,Texas,6,USC
2021,1400,1433,3,Texas,10,VCU
2021,1400,1455,3,Texas,11,Wichita St
2021,1400,1452,3,Texas,3,West Virginia
2021,1400,1437,3,Texas,5,Villanova
2021,1400,1403,3,Texas,6,Texas Tech
2021,1400,1458,3,Texas,9,Wisconsin
2021,1400,1439,3,Texas,10,Virginia Tech
2021,1400,1429,3,Texas,11,Utah St
2021,1400,1457,3,Texas,12,Winthrop
2021,1199,1276,4,Florida St,1,Michigan
2021,1199,1400,4,Florida St,3,Texas
2021,1199,1261,4,Florida St,8,LSU
2021,1199,1382,4,Florida St,9,St Bonaventure
2021,1199,1268,4,Florida St,10,Maryland
2021,1199,1277,4,Florida St,11,Michigan St
2021,1199,1417,4,Florida St,11,UCLA
2021,1199,1207,4,Florida St,12,Georgetown
2021,1199,1422,4,Florida St,13,UNC Greensboro
2021,1199,1233,4,Florida St,15,Iona
2021,1199,1291,4,Florida St,16,Mt St Mary's
2021,1199,1411,4,Florida St,16,TX Southern
2021,1199,1211,4,Florida St,1,Gonzaga
2021,1199,1234,4,Florida St,2,Iowa
2021,1199,1242,4,Florida St,3,Kansas
2021,1199,1438,4,Florida St,4,Virginia
2021,1199,1425,4,Florida St,6,USC
2021,1199,1332,4,Florida St,7,Oregon
2021,1199,1328,4,Florida St,8,Oklahoma
2021,1199,1281,4,Florida St,9,Missouri
2021,1199,1433,4,Florida St,10,VCU
2021,1199,1455,4,Florida St,11,Wichita St
2021,1199,1364,4,Florida St,12,UC Santa Barbara
2021,1199,1325,4,Florida St,13,Ohio
2021,1199,1213,4,Florida St,15,Grand Canyon
2021,1199,1313,4,Florida St,16,Norfolk St
2021,1199,1228,4,Florida St,1,Illinois
2021,1199,1222,4,Florida St,2,Houston
2021,1199,1452,4,Florida St,3,West Virginia
2021,1199,1329,4,Florida St,4,Oklahoma St
2021,1199,1397,4,Florida St,5,Tennessee
2021,1199,1361,4,Florida St,6,San Diego St
2021,1199,1260,4,Florida St,8,Loyola-Chicago
2021,1199,1210,4,Florida St,9,Georgia Tech
2021,1199,1353,4,Florida St,10,Rutgers
2021,1199,1393,4,Florida St,11,Syracuse
2021,1199,1333,4,Florida St,12,Oregon St
2021,1199,1251,4,Florida St,13,Liberty
2021,1199,1287,4,Florida St,14,Morehead St
2021,1199,1326,4,Florida St,2,Ohio St
2021,1199,1345,4,Florida St,4,Purdue
2021,1199,1437,4,Florida St,5,Villanova
2021,1199,1403,4,Florida St,6,Texas Tech
2021,1199,1314,4,Florida St,8,North Carolina
